c_Meses,Descripción,Fecha inicio de vigencia,Fecha fin de vigencia
01,Enero,01/01/2022,
02,Febrero,01/01/2022,
03,Marzo,01/01/2022,
04,Abril,01/01/2022,
05,Mayo,01/01/2022,
06,Junio,01/01/2022,
07,Julio,01/01/2022,
08,Agosto,01/01/2022,
09,Septiembre,01/01/2022,
10,Octubre,01/01/2022,
11,Noviembre,01/01/2022,
12,Diciembre,01/01/2022,
13,Enero-Febrero,01/01/2022,
14,Marzo-Abril,01/01/2022,
15,Mayo-Junio,01/01/2022,
16,Julio-Agosto,01/01/2022,
17,Septiembre-Octubre,01/01/2022,
18,Noviembre-Diciembre,01/01/2022,
